排名,书名,作者,译者,出版社,出版日期,价格,豆瓣链接,评分,简介,图片链接,ISBN
1,红楼梦,[清] 曹雪芹 著 ,, 人民文学出版社 , 1996-12 , 59.70元,https://book.douban.com/subject/1007305/,9.6,都云作者痴，谁解其中味？,https://img9.doubanio.com/view/subject/s/public/s1070959.jpg,9787020002207
2,活着,余华 ,, 作家出版社 , 2012-8-1 , 20.00元,https://book.douban.com/subject/4913064/,9.4,生的苦难与伟大,https://img9.doubanio.com/view/subject/s/public/s29053580.jpg,9787506365437
3,1984,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 , 28.00,https://book.douban.com/subject/4820710/,9.3,栗树荫下，我出卖你，你出卖我,https://img9.doubanio.com/view/subject/s/public/s4371408.jpg,9787530210291
4,百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 , 39.50元,https://book.douban.com/subject/6082808/,9.3,魔幻现实主义文学代表作,https://img9.doubanio.com/view/subject/s/public/s27237850.jpg,9787544253994
5,飘,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 , 40.00元,https://book.douban.com/subject/1068920/,9.3,革命时期的爱情，随风而逝,https://img9.doubanio.com/view/subject/s/public/s1078958.jpg,9787806570920
6,三体全集,刘慈欣 ,, 重庆出版社 , 2012-1-1 , 168.00元,https://book.douban.com/subject/6518605/,9.4,地球往事三部曲,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,9787229042066
7,三国演义（全二册）,[明] 罗贯中 ,, 人民文学出版社 , 1998-05 , 39.50元,https://book.douban.com/subject/1019568/,9.3,是非成败转头空,https://img9.doubanio.com/view/subject/s/public/s1076932.jpg,9787020008728
8,房思琪的初恋乐园,林奕含 ,, 北京联合出版公司 , 2018-1 , 45.00元,https://book.douban.com/subject/27614904/,9.2,向死而生的文学绝唱,https://img9.doubanio.com/view/subject/s/public/s29651121.jpg,9787559614636
9,动物农场,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 , 10.00元,https://book.douban.com/subject/2035179/,9.2,太阳底下并无新事,https://img9.doubanio.com/view/subject/s/public/s2347590.jpg,9787532741854
10,白夜行,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 , 39.50元,https://book.douban.com/subject/10554308/,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事,https://img9.doubanio.com/view/subject/s/public/s24514468.jpg,9787544258609
11,福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 , 丁钟华 等 , 群众出版社 , 1981-8 , 53.00元/68.00元,https://book.douban.com/subject/1040211/,9.3,名侦探的代名词,https://img9.doubanio.com/view/subject/s/public/s1229240.jpg,9787501408580
12,小王子,[法] 圣埃克苏佩里 , 马振聘 , 人民文学出版社 , 2003-8 , 22.00元,https://book.douban.com/subject/1084336/,9.0,献给长成了大人的孩子们,https://img9.doubanio.com/view/subject/s/public/s1103152.jpg,9787020042494
13,天龙八部,金庸 ,, 生活.读书.新知三联书店 , 1994-5 , 96.0,https://book.douban.com/subject/1255625/,9.1,有情皆孽，无人不冤,https://img9.doubanio.com/view/subject/s/public/s23632058.jpg,9787108006721
14,撒哈拉的故事,三毛 ,, 哈尔滨出版社 , 2003-8 , 15.80元,https://book.douban.com/subject/1060068/,9.2,游荡的自由灵魂,https://img9.doubanio.com/view/subject/s/public/s1066570.jpg,9787806398791
15,安徒生童话故事集,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 1997-08 , 25.00元,https://book.douban.com/subject/1046209/,9.2,为了争取未来的一代,https://img9.doubanio.com/view/subject/s/public/s1034062.jpg,9787020017713
16,冰与火之歌（卷一）,[美] 乔治·R. R. 马丁 , 谭光磊 , 重庆出版社 , 2005-5 , 68.00元,https://book.douban.com/subject/1336330/,9.3,凛冬将至。无比宏大的世界观,https://img9.doubanio.com/view/subject/s/public/s1358984.jpg,9787536671256
17,哈利·波特,J.K.罗琳 (J.K.Rowling) , 苏农 , 人民文学出版社 , 2008-12-1 , 498.00元,https://book.douban.com/subject/24531956/,9.7,从9¾站台开始的旅程,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,9787020096695
18,沉默的大多数,王小波 ,, 中国青年出版社 , 1997-10 , 27.00元,https://book.douban.com/subject/1054685/,9.1,沉默是沉默者的通行证,https://img9.doubanio.com/view/subject/s/public/s1447349.jpg,9787500627098
19,人类简史,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 中信出版社 , 2014-11 , CNY 68.00,https://book.douban.com/subject/25985021/,9.1,跟着人类一同走过十万年,https://img9.doubanio.com/view/subject/s/public/s27814883.jpg,9787508647357
20,平凡的世界（全三部）,路遥 ,, 人民文学出版社 , 2005-1 , 64.00元,https://book.douban.com/subject/1200840/,9.0,中国当代城乡生活全景,https://img9.doubanio.com/view/subject/s/public/s1144911.jpg,9787020049295
21,围城,钱锺书 ,, 人民文学出版社 , 1991-2 , 19.00,https://book.douban.com/subject/1008145/,8.9,幽默的语言和对生活深刻的观察,https://img9.doubanio.com/view/subject/s/public/s1070222.jpg,9787020024759
22,局外人,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 2010-8 , 22.00元,https://book.douban.com/subject/4908885/,9.0,人生在世，永远也不该演戏作假,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,9787532751471
23,杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,https://book.douban.com/subject/6781808/,9.2,有一种东西不能遵循从众原则，那就是——人的良心,https://img9.doubanio.com/view/subject/s/public/s23128183.jpg,9787544722766
24,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 2012-9-1 , 39.50元,https://book.douban.com/subject/10594787/,9.0,义无反顾地直达爱情的核心,https://img9.doubanio.com/view/subject/s/public/s11284102.jpg,9787544258975
25,明朝那些事儿（1-9）,当年明月 ,, 中国海关出版社 , 2009-4 , 358.20元,https://book.douban.com/subject/3674537/,9.1,不拘一格的历史书写,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,9787801656087
26,笑傲江湖（全四册）,金庸 ,, 生活·读书·新知三联书店 , 1994-5 , 76.80元,https://book.douban.com/subject/1002299/,9.0,欲练此功，必先自宫,https://img9.doubanio.com/view/subject/s/public/s2157335.jpg,9787108006639
27,中国历代政治得失,钱穆 ,, 生活·读书·新知三联书店 , 2001 , 12.00元,https://book.douban.com/subject/1003479/,9.2,一部简明的“中国政治制度史”,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,9787108015280
28,月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 , 15.00元,https://book.douban.com/subject/1858513/,9.0,有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://img9.doubanio.com/view/subject/s/public/s2659208.jpg,9787532739547
29,呐喊,鲁迅 ,, 人民文学出版社 , 1973年3月 , 0.36元,https://book.douban.com/subject/1449351/,9.0,新文学的第一声呐喊,https://img9.doubanio.com/view/subject/s/public/s4696893.jpg,
30,肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 2006-7 , 29.90元,https://book.douban.com/subject/1829226/,9.1,豆瓣电影Top1原著,https://img9.doubanio.com/view/subject/s/public/s4007145.jpg,9787020054985
31,基督山伯爵,大仲马 , 周克希 , 上海译文出版社 , 1991-12-1 , 43.90元,https://book.douban.com/subject/1085860/,9.0,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,https://img9.doubanio.com/view/subject/s/public/s3248016.jpg,9787532712243
32,东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 2006-5 , 18.00元,https://book.douban.com/subject/1827374/,9.0,谋杀诡计惊人，波洛的抉择耐人寻味,https://img9.doubanio.com/view/subject/s/public/s1765799.jpg,9787020056309
33,万历十五年,[美] 黄仁宇 ,, 生活·读书·新知三联书店 , 1997-5 , 18.00元,https://book.douban.com/subject/1041482/,8.9,见微知著，历史观的颠覆,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,9787108009821
34,追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 , 29.00元,https://book.douban.com/subject/1770782/,8.9,为你，千千万万遍,https://img9.doubanio.com/view/subject/s/public/s1727290.jpg,9787208061644
35,新名字的故事,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 , 59.00元,https://book.douban.com/subject/26986954/,9.0,探索青年时代的激情、困惑、挣扎、背叛和失去,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,9787020125265
36,失踪的孩子,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-7 , 62.00元,https://book.douban.com/subject/30172069/,9.1,我的整个生命，只是一场为了提升社会地位的低俗斗争。,https://img9.doubanio.com/view/subject/s/public/s29799269.jpg,9787020139927
37,江城,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2012-1 , 36.00元,https://book.douban.com/subject/7060185/,9.1,外国人眼中的涪陵,https://img9.doubanio.com/view/subject/s/public/s7019913.jpg,9787532756728
38,乡土中国,费孝通 ,, 上海人民出版社 , 2006-4 , 38.00,https://book.douban.com/subject/1795079/,9.2,中国乡土社会传统文化和社会结构理论研究代表作,https://img9.doubanio.com/view/subject/s/public/s1665415.jpg,9787208062153
39,刀锋,[英]毛姆 , 周煦良 , 上海译文出版社 , 2007-3 , 18.00元,https://book.douban.com/subject/2035162/,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://img9.doubanio.com/view/subject/s/public/s2347562.jpg,9787532741922
40,嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 , 南海出版公司 , 2008-9 , 28.00,https://book.douban.com/subject/3211779/,8.9,数学好是一种极致的浪漫,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,9787544241694
41,寻路中国,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2011-1 , 33.00元,https://book.douban.com/subject/5414391/,9.0,《纽约客》驻北京记者驾车漫游中国大陆的经历,https://img9.doubanio.com/view/subject/s/public/s32271209.jpg,9787532752805
42,城南旧事,林海音 文 ,, 中国青年出版社 , 2003-7 , 16.00元,https://book.douban.com/subject/1254588/,9.0,长亭外，古道边，芳草碧连天,https://img9.doubanio.com/view/subject/s/public/s2654869.jpg,9787500652045
43,射雕英雄传（全四册）,金庸 ,, 生活·读书·新知三联书店 , 1999-04 , 47.00元,https://book.douban.com/subject/1044547/,9.0,侠之大者，为国为民,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg,9787108012586
44,我与地坛,史铁生 ,, 春风文艺出版社 , 2002-5 , 25.00元,https://book.douban.com/subject/1209899/,9.1,这是你的罪孽与福祉,https://img9.doubanio.com/view/subject/s/public/s1151479.jpg,9787531324362
45,白鹿原,陈忠实 ,, 人民文学出版社 , 2012-9 , 39.00元,https://book.douban.com/subject/10564071/,9.2,一轴关于我们民族灵魂的现实主义画卷,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,9787020090297
46,格林童话全集,[德国]格林兄弟 , 魏以新 , 人民文学出版社 , 1994-11 , 21.45元,https://book.douban.com/subject/1043008/,9.0,一本有教育意义的书,https://img9.doubanio.com/view/subject/s/public/s1134341.jpg,9787020019526
47,黄金时代,王小波 ,, 花城出版社 , 1999-3 , 19.00元,https://book.douban.com/subject/1089243/,8.9,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,https://img9.doubanio.com/view/subject/s/public/s1076372.jpg,9787536025080
48,傲慢与偏见,[英] 奥斯丁 , 张玲 , 人民文学出版社 , 1993-7 , 13.00元,https://book.douban.com/subject/1083428/,8.9,所有现代言情小说的母体,https://img9.doubanio.com/view/subject/s/public/s4250062.jpg,9787020040179
