,书名,作者,译者,出版社,出版日期,简介,价格,豆瓣链接,评分
0,红楼梦,[清] 曹雪芹 著 ,, 人民文学出版社 , 1996-12 ,都云作者痴，谁解其中味？, 59.70元,https://book.douban.com/subject/1007305/,9.6
1,活着,余华 ,, 作家出版社 , 2012-8-1 ,生的苦难与伟大, 20.00元,https://book.douban.com/subject/4913064/,9.4
2,1984,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 ,栗树荫下，我出卖你，你出卖我, 28.00,https://book.douban.com/subject/4820710/,9.3
3,百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 ,魔幻现实主义文学代表作, 39.50元,https://book.douban.com/subject/6082808/,9.2
4,飘,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 ,革命时期的爱情，随风而逝, 40.00元,https://book.douban.com/subject/1068920/,9.3
5,三体全集,刘慈欣 ,, 重庆出版社 , 2012-1-1 ,地球往事三部曲, 168.00元,https://book.douban.com/subject/6518605/,9.4
6,三国演义（全二册）,[明] 罗贯中 ,, 人民文学出版社 , 1998-05 ,是非成败转头空, 39.50元,https://book.douban.com/subject/1019568/,9.3
7,房思琪的初恋乐园,林奕含 ,, 北京联合出版公司 , 2018-1 ,向死而生的文学绝唱, 45.00元,https://book.douban.com/subject/27614904/,9.2
8,白夜行,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 ,一宗离奇命案牵出跨度近20年步步惊心的故事, 39.50元,https://book.douban.com/subject/10554308/,9.1
9,动物农场,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 ,太阳底下并无新事, 10.00元,https://book.douban.com/subject/2035179/,9.2
10,福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 , 丁钟华 等 , 群众出版社 , 1981-8 ,名侦探的代名词, 53.00元/68.00元,https://book.douban.com/subject/1040211/,9.3
11,小王子,[法] 圣埃克苏佩里 , 马振聘 , 人民文学出版社 , 2003-8 ,献给长成了大人的孩子们, 22.00元,https://book.douban.com/subject/1084336/,9.0
12,天龙八部,金庸 ,, 生活.读书.新知三联书店 , 1994-5 ,有情皆孽，无人不冤, 96.0,https://book.douban.com/subject/1255625/,9.1
13,撒哈拉的故事,三毛 ,, 哈尔滨出版社 , 2003-8 ,游荡的自由灵魂, 15.80元,https://book.douban.com/subject/1060068/,9.2
14,安徒生童话故事集,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 1997-08 ,为了争取未来的一代, 25.00元,https://book.douban.com/subject/1046209/,9.2
15,哈利•波特,J.K.罗琳 (J.K.Rowling) , 苏农 , 人民文学出版社 , 2008-12-1 ,从9¾站台开始的旅程, 498.00元,https://book.douban.com/subject/24531956/,9.7
16,沉默的大多数,王小波 ,, 中国青年出版社 , 1997-10 ,沉默是沉默者的通行证, 27.00元,https://book.douban.com/subject/1054685/,9.1
17,人类简史,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 中信出版社 , 2014-11 ,跟着人类一同走过十万年, CNY 68.00,https://book.douban.com/subject/25985021/,9.1
18,围城,钱锺书 ,, 人民文学出版社 , 1991-2 ,幽默的语言和对生活深刻的观察, 19.00,https://book.douban.com/subject/1008145/,8.9
19,杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 ,有一种东西不能遵循从众原则，那就是——人的良心, 32.00元,https://book.douban.com/subject/6781808/,9.2
20,平凡的世界（全三部）,路遥 ,, 人民文学出版社 , 2005-1 ,中国当代城乡生活全景, 64.00元,https://book.douban.com/subject/1200840/,9.0
21,局外人,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 2010-8 ,人生在世，永远也不该演戏作假, 22.00元,https://book.douban.com/subject/4908885/,9.0
22,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 2012-9-1 ,义无反顾地直达爱情的核心, 39.50元,https://book.douban.com/subject/10594787/,9.0
23,明朝那些事儿（1-9）,当年明月 ,, 中国海关出版社 , 2009-4 ,不拘一格的历史书写, 358.20元,https://book.douban.com/subject/3674537/,9.1
24,笑傲江湖（全四册）,金庸 ,, 生活·读书·新知三联书店 , 1994-5 ,欲练此功，必先自宫, 76.80元,https://book.douban.com/subject/1002299/,9.0
25,月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 ,有多少人会经历顿悟，就有更少的人甘愿自我放逐, 15.00元,https://book.douban.com/subject/1858513/,9.0
26,中国历代政治得失,钱穆 ,, 生活·读书·新知三联书店 , 2001 ,一部简明的“中国政治制度史”, 12.00元,https://book.douban.com/subject/1003479/,9.2
27,肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 2006-7 ,豆瓣电影Top1原著, 29.90元,https://book.douban.com/subject/1829226/,9.1
28,基督山伯爵,大仲马 , 周克希 , 上海译文出版社 , 1991-12-1 ,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景, 43.90元,https://book.douban.com/subject/1085860/,9.0
29,东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 2006-5 ,谋杀诡计惊人，波洛的抉择耐人寻味, 18.00元,https://book.douban.com/subject/1827374/,9.0
30,追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 ,为你，千千万万遍, 29.00元,https://book.douban.com/subject/1770782/,8.9
31,万历十五年,[美] 黄仁宇 ,, 生活·读书·新知三联书店 , 1997-5 ,见微知著，历史观的颠覆, 18.00元,https://book.douban.com/subject/1041482/,8.9
32,新名字的故事,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 ,探索青年时代的激情、困惑、挣扎、背叛和失去, 59.00元,https://book.douban.com/subject/26986954/,9.0
33,失踪的孩子,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-7 ,我的整个生命，只是一场为了提升社会地位的低俗斗争。, 62.00元,https://book.douban.com/subject/30172069/,9.1
